person_id,arrest_id_x,charge_degree,offense_category,arrest_date_event,arrest_id_y,age_at_arrest,sex,race,arrest_date_univ,y,current_charge_felony,num_fel_arrests_last_year
3909,6370773,felony,property,2016-12-01,6370773,47.172602739726024,M,White,2016-12-01,1,1,1
92254,4639608,misdemeanor,property,2017-12-15,4354694,25.13150684931507,M,Black,2018-02-11,0,0,0
69058,7851136,misdemeanor,property,2015-10-16,7255033,49.24931506849315,F,mixed,2016-04-10,1,0,0
13178,5510599,misdemeanor,violent,2017-07-13,6641052,20.01095890410959,M,Black,2016-09-13,1,0,0
342694,6486630,misdemeanor,violent,2016-10-29,6486630,19.843835616438355,F,White,2016-10-29,0,0,0
47273,10834837,felony,violent,2013-01-28,7465597,23.38082191780822,M,Black,2016-02-13,1,1,0
1241445,5999816,misdemeanor,property,2017-03-17,6213037,27.578082191780823,M,White,2017-01-21,0,0,0
5400,7612631,misdemeanor,other,2015-12-29,4292218,27.21917808219178,M,Black,2018-02-22,1,0,0
44351,96997,misdemeanor,drug,2020-03-12,4130120,27.805479452054794,F,Black,2018-03-24,0,0,0
26596,10917887,misdemeanor,property,2012-12-27,7370720,46.40547945205479,M,mixed,2016-03-09,0,0,0
84027,2140534,misdemeanor,other,2019-03-04,2680535,39.26849315068493,M,Black,2018-11-18,0,0,0
56410,9226307,misdemeanor,property,2014-07-23,4937826,33.4027397260274,M,Black,2017-10-27,0,0,0
14780,10789458,misdemeanor,property,2013-02-13,11966928,22.197260273972603,M,White,2016-04-12,0,0,0
15353,1599961,misdemeanor,property,2019-05-20,3039691,34.391780821917806,F,White,2018-09-11,1,0,0
1609935,10702903,misdemeanor,other,2013-03-16,7395386,41.40547945205479,,,2016-03-02,0,0,0
915957,11384871,felony,drug,2012-07-13,7206185,48.07671232876712,M,mixed,2016-04-21,0,1,0
83874,540636,misdemeanor,violent,2019-12-10,4159297,24.51506849315069,F,Black,2018-03-19,0,0,0
41664,6659636,felony,drug,2016-09-08,6659636,31.375342465753423,F,White,2016-09-08,1,1,0
66046,11182725,misdemeanor,property,2012-09-21,5057571,24.473972602739725,M,Black,2017-10-06,1,0,0
1129862,8042609,felony,violent,2015-08-19,7422871,30.457534246575342,M,White,2016-02-23,1,1,1
92636,8240488,misdemeanor,property,2015-06-18,5155920,56.054794520547944,M,Black,2017-09-19,0,0,0
754401,2698916,misdemeanor,other,2018-11-14,2698916,23.10958904109589,M,Black,2018-11-14,0,0,0
103801,7470210,misdemeanor,drug,2016-02-12,7470210,22.882191780821916,M,Black,2016-02-12,0,0,0
101770,9539634,misdemeanor,drug,2014-04-16,5351996,26.92602739726027,F,,2017-08-15,0,0,0
1431369,3129407,misdemeanor,other,2018-08-24,3129407,38.81917808219178,M,Black,2018-08-24,0,0,0
1602937,4143130,misdemeanor,drug,2018-03-21,4143130,44.59452054794521,F,White,2018-03-21,0,0,0
41991,6589205,felony,property,2016-09-28,6778366,24.93972602739726,M,White,2016-08-05,1,1,0
318135,4563052,felony,other,2018-01-02,6935981,34.8054794520548,M,White,2016-06-17,1,1,0
57776,10391079,felony,drug,2013-07-02,7308318,21.936986301369863,M,Black,2016-03-25,1,1,3
1675740,5511036,misdemeanor,other,2017-07-13,6147642,34.961643835616435,M,White,2017-02-07,0,0,0
1060589,3907166,misdemeanor,other,2018-04-19,4941565,28.134246575342463,M,Black,2017-10-27,0,0,1
184560,7866408,misdemeanor,violent,2020-10-31,2790886,45.42739726027397,M,Black,2018-10-29,0,0,0
33633,6995174,misdemeanor,other,2016-06-01,6995174,18.2986301369863,M,mixed,2016-06-01,1,0,0
65387,7194627,felony,violent,2016-04-26,7194627,18.813698630136987,M,Black,2016-04-26,0,1,1
29538,10577524,misdemeanor,property,2013-04-29,4502396,35.553424657534244,M,Black,2018-01-16,0,0,0
20010,6983711,misdemeanor,drug,2016-06-04,2594291,41.0958904109589,M,White,2018-12-04,0,0,0
545503,5233850,misdemeanor,drug,2017-09-07,3499759,45.76438356164383,M,Black,2018-07-04,0,0,0
207810,2415965,misdemeanor,other,2019-01-10,3739546,27.51780821917808,M,Black,2018-05-20,0,0,0
69058,10658321,misdemeanor,violent,2013-04-01,7255033,49.24931506849315,F,mixed,2016-04-10,1,0,0
84823,5403607,misdemeanor,violent,2017-08-05,2922877,24.0,M,Black,2018-10-02,1,0,2
27558,6253559,misdemeanor,other,2017-01-10,4448872,37.512328767123286,M,Black,2018-01-25,0,0,0
64186,2238345,misdemeanor,other,2019-02-13,6203506,35.85753424657534,M,Black,2017-01-24,0,0,0
1060589,5089476,misdemeanor,property,2017-09-30,4941565,28.134246575342463,M,Black,2017-10-27,0,0,1
1111687,5550829,misdemeanor,other,2020-09-14,5936371,33.51780821917808,M,White,2017-04-03,0,0,0
126282,4516013,felony,property,2018-01-12,3573863,36.465753424657535,M,Black,2018-06-20,0,1,1
260781,2296603,misdemeanor,property,2019-02-03,3059137,19.3972602739726,M,Black,2018-09-07,0,0,0
